Nom,Rang,Naissance,Mort,Pays,Continent,Domaine,Description,Image,Merged Doc ID - PersonnagesInfuents,Merged Doc URL - PersonnagesInfuents,Link to merged Doc - PersonnagesInfuents,Document Merge Status - PersonnagesInfuents
Charles Darwin,0071,1809,1882,Angleterre,Europe,BIOLOGISTE,"Charles Darwin est un biologiste anglais.
Ses travaux ont révolutionné la biologie.
Il écrit “De l'origine des espèces”, qui détaille sa théorie de l'évolution des espèces vivantes. Elle explique de la diversité de la vie. Il adopte la théorie du français Jean-Baptiste de Lamarck selon laquelle toutes les espèces vivantes ont évolué à partir d'un seul ancêtre commun.
Il soutient que cette évolution est due à la “sélection naturelle” : les plus forts survivent plus longtemps, ont donc plus d’enfants, et donc transmettent plus facilement leurs particularité et leurs avantages.
La sélection naturelle dépend de l’environnement considéré : un requin est fort uniquement en mer, un lion est fort uniquement sur terre.
Il est aussi célèbre dans la communauté scientifique grâce à son travail de terrain et ses recherches en géologie.",https://i.imgur.com/kKiVe4w.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Avicenne,0097,980,1037,Perse,Asie,PHILOSOPHE,"Avicenne est un philosophe et médecin Perse. Il est un des plus grands médecins de l’Histoire.
Ses élèves le surnomment le plus grand des médecins. Il est le “3e Maître” (après Aristote et Farabi).
Il écrit une encyclopédie médicale (Qanûn), une sur “la guérison de l’âme”, et une sur la science.
Il a une grande mémoire et est très doué. À 14 ans, il lit les 60 livres de médecine d’Hippocrate, en une seule fois. À 16 ans, il lit l’ensemble de l’œuvre de Galien (plus de 20’000 pages de livres sur la médecine), et il étudie soigneusement Aristote.
À 17 ans, il est déjà médecin, donne des cours et soigne des princes. Sa popularité devient vite immense.
Le Qanûn sera la base de l’enseignement de la médecine en Asie et en Europe pendant plus de 600 ans.
Il rattache la médecine à la physique. Ceci perdure encore aujourd’hui (“Physician” en Anglais veut dire médecin).",https://upload.wikimedia.org/wikipedia/commons/7/74/Avicenna-miniatur.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Farabi,0638,Avant 920,950,Perse,Asie,PHILOSOPHE,"Farabi est un philosophe perse.
Il améliore toutes les connaissances de son époque (sciences et arts).
Il est le 2nd Maître (après Aristote), ou le 2nd instituteur de l’intelligence.
Il est l’un des premiers à populariser la pensée d’Aristote parmi les musulmans.
Il est une source d’inspiration majeure pour Avicenne.
Il s’intéresse beaucoup à la politique et écrit de nombreuses synthèses sur Platon et Aristote.
Il écrit un traité sur les sciences qui ignore la médecine qu’il considère comme pratique, tout comme la menuiserie par exemple.
Il s’oppose à Galien qui considère les médecins comme des philosophes.
Il pense que l’Univers est composé de couche. Les couches inférieures composent le monde imparfait (matériel. corrompu et divisé), et les couches supérieures composent le monde parfait (intellectuel, pur et unifié).
",https://upload.wikimedia.org/wikipedia/commons/3/33/Iranian_Farabi.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Claude Galien,0196,129,216,Grèce,Europe,MÉDECIN,"Claude Galien est un médecin grec de l’Antiquité.
Il est considéré, avec Hippocrate, comme l’un des fondateurs de la médecine occidentale.
Il est exceptionnel car il allie les réalités médicales et la spéculation.
Ses théories dominent la médecine pendant plus de 1’500 ans, avant l’arrivée de la médecine moderne.
Il devient médecin des gladiateurs. Sous ses soins, seulement 2 gladiateurs décédèrent la 1ère année, contre 16 les années précédentes.
Lui seul soigne Marc Aurèle de ses violentes coliques. Marc Aurèle dit de lui : “il est le 1er parmi les médecins, et seul parmi les philosophes”.
Il est à l’époque énormément plagié et dresse alors une liste de tous ses ouvrages ainsi qu’un guide de lecture.
Un incendie détruit ses livres les plus précieux. À 63 ans, il consacre tout son temps à leur réécriture.
Il meurt à 86 ans après avoir écrit plus de 20’000 pages sur la médecine.
",https://upload.wikimedia.org/wikipedia/commons/8/80/Galenus.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Hippocrate de Cos,0048,vers -460,-377,Grèce,Europe,MÉDECIN,"Hippocrate de Cos est un médecin grec de l’Antiquité.
Il est considéré comme le fondateur de la médecine. Selon Sénèque, il est le plus grand des médecins.
Il est connu grâce au serment d’Hippocrate, serment prêté par tous les médecins Occidentaux et qui fonde les bases de la pratique et de la déontologie médicale.
Il écarte l’aspect divin dans la pratique de la médecine et favorise une approche plus rigoureuse.
Selon Platon et Aristote, il est déjà un médecin réputé de son époque.
Il examine le philosophe Démocrite, considéré comme fou car il se moque de tout. Il y voit juste quelqu’un d’heureux. Démocrite est surnommé le “philosophe rieur” par la suite.
Selon la légende, il est le descendant d’Asclépios, dieu de la médecine, et d’Héraclès, héros grec vénéré pour sa force et son courage.
Il meurt à un âge avancé (entre 85 et 109 ans).
",https://upload.wikimedia.org/wikipedia/commons/3/32/Hippocrates_rubens.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
René Descartes,0058,1596,1650,France,Europe,PHILOSOPHE,"René Descartes est un philosophe et mathématicien français.
Il est considéré comme l’un des fondateurs de la philosophie moderne.
Il écrit le “Discours de la méthode”, qu’il publie anonymement, et qui se veut être une introduction à 3 traités scientifiques utilisant cette méthode.
S’appuyant sur Platon, Aristote et Gomez Pereira, il écrit “Cogito, ergo sum” qui veut dire “Je pense, donc je suis” en Latin. Il souhaite ici exprimer que bien qu’il doute de tout, il est au moins certain d’exister. Car pour douter, il faut au moins exister.
Il permet des avancées majeures en mathématiques, en particulier grâce à la géométrie analytique.
Il défend l’héliocentrisme mais reste prudent car Galilée vient d’être condamné par l’Église. Ses écrits seront par la suite mis à l’Index, c’est-à-dire interdits par l’Église.
Son père le surnomme “mon petit philosophe” car il pose tout le temps des questions.",https://upload.wikimedia.org/wikipedia/commons/7/73/Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Marie Curie,0281,1867,1934,Pologne,Europe,PHYSICIEN-NE,"Marie Curie est une physicienne et chimiste polonaise puis française.
Elle reçoit, avec son mari Pierre Curie, le prix Nobel de physique en 1903 pour ses recherches sur la radiation.
Elle reçoit le prix Nobel de chimie en 1911 pour ses travaux sur le polonium et le radium, 2 métaux radioactifs.
Elle est la 1ère femme à avoir reçu le prix Nobel, et la seule à en avoir reçu dans des domaines scientifiques différents.
Elle a choisit le nom du polonium en hommage à son pays d'origine, la Pologne.
Durant la guerre, elle invente des ambulances lui permettant de faire des radiographies des blessés sur le front. On les appellera les Petites Curies.
Elle participe aux congrès Solvay qui réunissent les meilleurs physiciens et chimistes comme Albert Einstein.
Une danseuse lui demande de faire une robe phosphorescente avec du radium. Elle refuse car c’est un élément extrêmement dangereux pour la santé.
Elle meurt à 66 ans, suite à son exposition aux éléments radioactifs qu'elle étudiait. ",https://upload.wikimedia.org/wikipedia/commons/7/71/Marie_Curie_c1920.png,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Cléopâtre VII,0029,-69,-30,Égypte,Afrique,REINE,"Cléopâtre VII est une reine égyptienne. Elle règne de -51 à -30.
Elle fait partie de la dynastie des Lagides qui a été fondée par un général d'Alexandre le Grand.
Elle est courageuse, intelligente, et cultivée.
Son royaume est instable et difficile à gouverner.
Elle est d'abord la conjointe de Jules César avec qui elle a plusieurs enfants.
Puis elle part à Rome vivre pendant 2 ans. Mais à la mort de Jules César, elle décide de retourner en Égypte.
Elle est ensuite la conjointe de Marc Antoine pendant 10 ans.
Son alliance avec Rome l'aide dans un premier temps à gouverner. Mais la guerre que Marc Antoine perd face à Octave met un terme à son règne.
Elle est réputée pour avoir eu un très grand nez.",https://upload.wikimedia.org/wikipedia/commons/7/75/-0035_Altes_Museum_Portrait_Kleopatra_VII_anagoria.JPG,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Mary Anning,0999,1799,1847,Angleterre,Europe,PALÉONTOLOGUE,"Mary Anning est une paléontologue anglaise.
Elle est l'une des plus importantes paléontologues de l'Histoire.
Elle commence par faire du commerce de fossiles qu'elle recherche à plein temps.
La communauté scientifique, qui se rend compte de l'importance des fossiles pour la géologie et la biologie, devient très rapidement son principal client.
Alors qu'elle a 12 ans, elle découvre le premier squelette complet d'ichtyosaure.
Elle découvre aussi un squelette de plésiosaure ainsi qu'un fossile de ptérodactyle. 
Louis Agassiz, naturaliste américano-suisse donnera son nom à 2 espèces de dinosaures.
À l'âge de 15 mois, alors qu'elle se trouve dans les bras de son infirmière, elles sont toutes les 2 frappées par la foudre. Elle seule survit.",https://upload.wikimedia.org/wikipedia/commons/e/e7/Mary_Anning_painting.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Ada Lovelace,3571,1815,1852,Angleterre,Europe,MATHÉMATICIEN-NE,"Ada Lovelace est une mathématicienne et une informaticienne anglaise.
Elle est considérée comme la 1ère programmeuse de l’Histoire.
Elle est la fille de Lord Byron, célèbre poète anglais.
Sa mère adore les mathématiques et fait en sorte qu’elle reçoive une formation approfondie en science.
À 17 ans, elle rencontre Charles Babbage. Elle est émerveillée ses machines analytique, un ancêtre de l’ordinateur.
Alors qu’elle travaille sur la traduction d’un article en Français décrivant la machine analytique de Babbage, elle décide d’y ajouter des notes. Une de ces notes est un véritable algorithme. Cet algorithme est considéré comme le 1er programme informatique au monde.
On donnera son nom à un langage de programmation, le langage Ada.
Son portrait est visible sur les hologrammes d'authentification des produits Microsoft.",https://upload.wikimedia.org/wikipedia/commons/8/87/Ada_Lovelace.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Michel-Ange,0019,1475,1564,Italie,Europe,SCULPTEUR-TRICE,"Michel-Ange est un sculpteur et un peintre italien.
Il est reconnu pour être un artiste exceptionnel et supérieur aux artistes de son époque comme de Vinci et Raphaël.
Ses œuvres les plus connues sont “David”, “La Pietà”, “Moïse”, le plafond de la chapelle Sixtine et “Le Jugement dernier”.
Il est aussi architecte et réalise le dôme de Saint-Pierre de Rome en Italie.
Il est admiré par les artistes de son époque et son style de peinture est beaucoup copié.
Plusieurs biographies sont aussi publiées sur lui alors qu’il est encore vivant.
Avant ses 30 ans, il sculpte “David” et “La Pietà”, 2 sculptures en marbre, parmi les plus célèbres oeuvres de l’Histoire. 
Durant 4 années très éprouvantes, il peint le plafond de la chapelle Sixtine.
Il est très influencé par Platon ce qui se voit beaucoup dans ses œuvres.
Il continue de conseiller ses élèves et reste actif jusqu’à sa mort, à 88 ans.
",https://upload.wikimedia.org/wikipedia/commons/5/5e/Miguel_%C3%81ngel%2C_por_Daniele_da_Volterra_%28detalle%29.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Tamerlan,0201,1370,1405,Ouzbékistan,Asie,MILITAIRE,"Tamerlan est un guerrier turco-mongol de l'antiquité.
Il conquiert une grande partie de l'Asie.
Il est un conquérant exceptionnel et très redouté car il détruit totalement les villes qui osent lui résister.
Il commence sa carrière militaire à 16 ans.
Craignant une révolte à Samarcande (grande ville d'Ouzbékistan), il doit prendre la fuite.
Plusieurs années plus tard, il devient officiellement souverain et monte sur le trône à Samarcande et en fait sa capitale.
Il passe les 30 années suivantes à faire la guerre et à lancer des expéditions et construira la 3e plus grand empire du monde.
Dans chaque ville conquise, il recrutait les meilleurs artisans et scientifiques pour les envoyer à Samarcande.
Il meurt de maladie à 68 ans, lors d'une expédition en Chine.
Son tombeau se trouve au Gour Emir (un mausolée), à Samarcande.
Une légende raconte que son tombeau est maudit. Il y est inscrit : ""Lorsque je reviendrai à la lumière du jour, le monde tremblera.""
",https://upload.wikimedia.org/wikipedia/commons/4/43/Tamerlan.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Gengis Khan,0044,1155,1227,Mongolie,Asie,MILITAIRE,"Gengis Khan est un grand conquérant et un chef charismatique mongol.
Il fonde l'Empire mongol qui deviendra le plus grand empire de tous les temps.
Il devient ami avec les chefs de tribus mongoles et il finit par les unir afin de conquérir la Chine.
Il améliore beaucoup les stratégies de combat basées essentiellement sur l'usage des arcs et des chevaux.
À la fin de sa vie, il contrôle la majeure partie de l'Asie.
Par la suite, ses descendants continuent d’agrandir énormément son empire.
Il est considéré comme le père de la Mongolie et est aujourd'hui une légende.
Il établit des lois protégeant les femmes.
Après sa mort, il est enterré dans un endroit secret que personne ne connaît.
Selon la légende, il est le descendant d'un loup, d'une biche fauve et d'une femme fécondée par un rayon de Soleil. Il aurait aussi tué un ours à mains nues.",https://upload.wikimedia.org/wikipedia/commons/3/35/YuanEmperorAlbumGenghisPortrait.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Jeanne d'Arc,0045,1412,1431,France,Europe,RELIGIEUX-SE,"Jeanne d'Arc naît en 1412 en France. À 13 ans, elle déclare avoir reçu des visions divines lui ordonnant de libérer la France de l'occupation anglaise pendant la Guerre de Cent Ans. Elle convainc le dauphin Charles VII de la suivre et mène les troupes françaises à la victoire, notamment en libérant la ville d'Orléans en 1429. Cependant, elle est capturée par les Anglais en 1430, jugée pour hérésie, et exécutée sur le bûcher à Rouen en 1431. Après sa mort, Jeanne d'Arc est réhabilitée par l'Église catholique en 1456, reconnaissant son innocence et sa mission. Elle demeure une icône nationale en France, célébrée pour son courage, sa foi et son rôle crucial dans l'histoire de la nation. Surnommée ",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Joan_of_Arc_miniature_graded.jpg/800px-Joan_of_Arc_miniature_graded.jpg,,,,
Shakespeare,0046,1564,1616,Angleterre,Europe,POÈTE,"William Shakespeare, né en 1564 en Angleterre, est une icône littéraire mondiale. Dramaturge et poète, il a marqué l'histoire de la littérature anglaise et mondiale. Ses œuvres, comme ""Roméo et Juliette"" et ""Hamlet"", sont encore largement jouées et étudiées aujourd'hui.
Ses écrits ont exploré une gamme diversifiée de thèmes humains, de l'amour tragique à la politique. Shakespeare a inventé de nombreux mots et expressions qui sont toujours en usage aujourd'hui. Il a également contribué à façonner la langue anglaise moderne.
Bien que peu soit connu de sa vie personnelle, son héritage littéraire est indéniable. William Shakespeare est célébré comme un génie créatif dont les œuvres continuent d'enrichir le patrimoine culturel mondial.",https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg,,,,
Nikola Tesla,0047,1856,1943,Croatie,Europe,INVENTEUR-TRICE,"Nikola Tesla, né en 1856 en Serbie, est une figure légendaire de l'histoire de la science. Inventeur prolifique, il a apporté des contributions majeures à la technologie électrique. Tesla est surtout connu pour ses travaux sur le courant alternatif, qui a révolutionné la transmission de l'électricité.
Il a déposé de nombreuses inventions, notamment la bobine Tesla et le générateur à courant alternatif, qui ont eu un impact considérable sur l'industrie de l'énergie. Tesla était également un visionnaire, anticipant des concepts tels que l'énergie sans fil et les communications à distance.
Malgré sa génialité, Tesla a souvent fait face à des difficultés financières et à des controverses. Il est décédé en 1943, dans la relative obscurité, mais son héritage continue d'inspirer des générations d'inventeurs et de scientifiques, et son nom est synonyme d'innovation technologique.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Tesla_circa_1890.jpeg/800px-Tesla_circa_1890.jpeg,,,,
Marco Polo,0048,1254,1324,Italie,Europe,EXPLORATEUR-TRICE,"Marco Polo, né en 1254 à Venise, est une figure emblématique de l'exploration médiévale. Il est célèbre pour son récit de voyage, ""Le Livre des Merveilles du Monde"", qui décrit son voyage en Asie aux côtés de son père et de son oncle.
Pendant près de 24 ans, Marco Polo a parcouru des milliers de kilomètres à travers des terres lointaines telles que la Chine, la Perse et l'Inde. Ses descriptions détaillées de l'Empire mongol de Kubilai Khan ont ouvert les portes de l'Orient à l'Europe médiévale.
Son récit a suscité l'admiration et la curiosité en Europe et a influencé les voyages d'exploration ultérieurs. Marco Polo est devenu une source d'inspiration pour de nombreux explorateurs et voyageurs, et son nom est synonyme d'aventure et de découverte.",https://upload.wikimedia.org/wikipedia/commons/b/b0/Marco_Polo_Mosaic_from_Palazzo_Tursi.jpg,,,,
Napoléon Ier,0049,1769,1821,France,Europe,MILITAIRE,"Napoléon Ier, né en 1769 en Corse, est une figure emblématique de la France. Général de l'armée révolutionnaire, il a pris le pouvoir en 1799 lors d'un coup d'État, instaurant le Consulat puis l'Empire en 1804 sous le nom de Napoléon Ier.
Il est célèbre pour ses réformes, notamment le Code civil qui a influencé les lois françaises et internationales. Ses conquêtes militaires, lors des guerres napoléoniennes, ont étendu son empire à travers l'Europe, avec des victoires marquantes comme Austerlitz. Cependant, sa défaite à la bataille de Waterloo en 1815 a scellé son destin.
Napoléon a été exilé sur l'île de Sainte-Hélène où il est décédé en 1821. Son héritage persiste, en tant que génie militaire et réformateur, laissant une empreinte durable sur l'histoire de la France et de l'Europe.",https://i.imgur.com/3g63PnP.jpeg,,,,
Vincent van Gogh,0050,1853,1890,Pays-Bas,Europe,PEINTRE,"Vincent van Gogh, né en 1853 aux Pays-Bas, est un artiste majeur de l'histoire de la peinture. Son travail révolutionnaire a grandement influencé l'art moderne.
Van Gogh a créé des œuvres emblématiques telles que ""La Nuit étoilée"" et ""Les Tournesols"". Sa palette de couleurs audacieuse et son style expressif ont captivé l'émotion et la beauté de la vie quotidienne.
Cependant, la vie de Van Gogh a été marquée par la pauvreté et la maladie mentale, ce qui l'a conduit à des périodes de détresse. Malgré cela, son art a persisté, et il est désormais considéré comme l'un des plus grands peintres de tous les temps.
Vincent van Gogh est célébré pour sa contribution inestimable à l'art, sa sensibilité unique et sa vision créative. Son nom est synonyme d'expression artistique et de passion pour l'art.",https://upload.wikimedia.org/wikipedia/commons/b/b2/Vincent_van_Gogh_-_Self-Portrait_-_Google_Art_Project.jpg,,,,
Christophe Colomb,0051,1451,1506,Italie,Europe,EXPLORATEUR-TRICE,"Christophe Colomb, né vers 1451 en Italie, est une figure emblématique de l'exploration maritime. Il est célèbre pour son voyage historique en 1492, lorsqu'il a traversé l'océan Atlantique à la recherche d'une route vers les Indes, mais a plutôt découvert les Amériques.
Sponsorisé par l'Espagne, Colomb a navigué à bord de la caravelle Santa María et a atteint une île des Caraïbes qu'il a nommée San Salvador. Son voyage a ouvert la voie à la découverte et à la colonisation du Nouveau Monde par les Européens.
Bien que Colomb soit souvent célébré pour sa bravoure en tant qu'explorateur, ses voyages ont également eu des conséquences majeures sur les peuples autochtones et ont marqué le début de l'ère de l'exploration et de la colonisation européennes.
Aujourd'hui, Christophe Colomb est reconnu comme une figure controversée de l'histoire, mais son nom demeure associé à l'exploration et à la découverte de nouvelles terres.",https://upload.wikimedia.org/wikipedia/commons/1/14/Ridolfo_Ghirlandaio_Columbus.jpg,,,,
Jacques Cartier,0052,1491,1557,France,Europe,EXPLORATEUR-TRICE,"Jacques Cartier, explorateur français du XVIe siècle, est célèbre pour ses voyages en Amérique du Nord qui ont contribué à la découverte et à la cartographie du Canada. Sous le patronage du roi de France, il a effectué trois expéditions entre 1534 et 1542, explorant le golfe du Saint-Laurent, la baie de Gaspé, et nommant le fleuve Saint-Laurent. Ses voyages ont ouvert la voie à la colonisation française en Amérique du Nord et laissé une empreinte durable sur la cartographie et l'exploration de la région canadienne. Jacques Cartier est ainsi associé à la découverte et à l'exploration des terres canadiennes.",https://upload.wikimedia.org/wikipedia/commons/d/df/Jacques_Cartier_1851-1852.jpg,,,,
Ferdinand de Magellan,0053,1480,1521,Portugal,Europe,EXPLORATEUR-TRICE,"Ferdinand de Magellan, né vers 1480 au Portugal, est un explorateur renommé du XVIe siècle. Il est célèbre pour avoir mené la première expédition autour du monde.
Sous la bannière de l'Espagne, Magellan a entrepris son voyage historique en 1519 avec cinq navires. Après de nombreuses épreuves et découvertes, dont le détroit qui porte maintenant son nom, il a atteint les Philippines, où il a trouvé la mort lors d'une bataille en 1521. Cependant, son navire, le Victoria, a continué le voyage et est revenu en Espagne en 1522, complétant ainsi la circumnavigation.
Le voyage de Magellan a permis de prouver que la Terre était ronde et que l'on pouvait atteindre l'Asie en naviguant vers l'ouest. Cela a ouvert de nouvelles voies commerciales pour l'Espagne et a jeté les bases des explorations maritimes ultérieures.
Ferdinand de Magellan est aujourd'hui reconnu comme l'un des plus grands explorateurs de tous les temps, et son nom est associé à la circumnavigation de la Terre et à l'ouverture de nouvelles routes maritimes mondiales.",https://static.nationalgeographic.fr/files/styles/image_3200/public/magellan-explainer-circumnavigation-portrait1.jpg?w=1900&h=2465,,,,
Vasco de Gama,0054,1460 ou 1469,1524,Portugal,Europe,EXPLORATEUR-TRICE,"Vasco de Gama, navigateur portugais du XVe siècle, est célèbre pour avoir ouvert la route maritime vers l'Inde. Sous le patronage du roi Manuel Ier du Portugal, il a entrepris un voyage historique en 1497. Naviguant autour de la pointe sud de l'Afrique, il a atteint Calicut en Inde en 1498, établissant ainsi une voie commerciale majeure entre l'Europe et l'Asie. Cette découverte a eu un impact considérable sur le commerce mondial et a ouvert une nouvelle ère de relations entre l'Europe et l'Asie. Vasco de Gama est reconnu comme l'un des plus grands explorateurs maritimes de l'histoire et son nom est synonyme de découvertes et d'exploits dans les océans du monde.",https://i.imgur.com/2j2ZD2hg.jpg,,,,
Abraham Lincoln,0055,1809,1865,Etats-unis,Amérique du Nord,POLITICIEN-NE,"Abraham Lincoln, né en 1809 aux États-Unis, est l'une des figures les plus marquantes de l'histoire américaine. Il a été le 16e président des États-Unis, en fonction de 1861 à 1865, pendant une période cruciale de l'histoire du pays, la guerre civile américaine.
Lincoln est principalement connu pour son rôle dans l'abolition de l'esclavage aux États-Unis, avec l'adoption du 13e amendement à la Constitution. Son leadership pendant la guerre civile a été essentiel pour préserver l'Union et mettre fin à la sécession des États du Sud. Malheureusement, Abraham Lincoln a été assassiné en 1865 par John Wilkes Booth, devenant ainsi le premier président américain à être assassiné en fonction. Sa vie et sa mort sont devenues des symboles de l'unité et de la lutte pour la justice aux États-Unis. Aujourd'hui, Abraham Lincoln est vénéré comme l'un des plus grands présidents de l'histoire américaine, reconnu pour sa vision de l'égalité et de la liberté, et son nom est associé à la préservation de l'Union et à la lutte pour les droits civiques.",https://i.imgur.com/uiyNO9x_d.jpeg?maxwidth=520&shape=thumb&fidelity=high,,,,
Martin Luther King,0056,1929,1968,Etats-unis,Amérique du Nord,RELIGIEUX-SE,"Martin Luther King, né en 1929 aux États-Unis, est une icône du mouvement des droits civiques et de la lutte pour l'égalité raciale. En tant que pasteur baptiste, il a dirigé des manifestations non violentes pour l'égalité des droits des Afro-Américains dans les années 1950 et 1960.
Son discours historique ""I Have a Dream"" en 1963 à Washington D.C. est devenu emblématique, exprimant son rêve d'un avenir où les gens seraient jugés non pas par la couleur de leur peau, mais par leur caractère. Sa lutte a contribué à l'adoption de lois sur les droits civiques aux États-Unis, mettant fin à la ségrégation raciale.
Tragiquement, Martin Luther King a été assassiné en 1968 à Memphis, Tennessee, mais son héritage perdure. Il est reconnu comme un défenseur de la justice et de l'égalité, et son nom est associé à la lutte pour les droits civils et à la promotion de l'amour et de la tolérance.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Martin_Luther_King%2C_Jr..jpg/290px-Martin_Luther_King%2C_Jr..jpg,,,,
Marie Madeleine,0057,1er siècle,1er siècle,Israël,Asie,RELIGIEUX-SE,"Marie Madeleine, une figure biblique du Nouveau Testament, est souvent associée à une femme de grande foi. Elle est mentionnée dans les évangiles comme une disciple de Jésus et témoin de sa crucifixion, sa mort et sa résurrection.
On la décrit parfois comme une pécheresse repentante qui a été pardonnée par Jésus. Selon la tradition, elle était présente au tombeau vide après la résurrection de Jésus et a été la première à voir le Christ ressuscité.
L'histoire de Marie Madeleine a inspiré de nombreuses œuvres d'art, de littérature et de théologie au fil des siècles, et elle est souvent perçue comme un symbole de la rédemption, de la foi et de la dévotion envers Jésus-Christ. Son nom est associé à la spiritualité chrétienne et à la place importante des femmes dans l'histoire religieuse.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Maria_Magdalene_crucifixion_detail.jpeg/225px-Maria_Magdalene_crucifixion_detail.jpeg,,,,
Ludwig van Beethoven,0059,1770,1827,Allemagne,Europe,COMPOSITEUR-TRICE,"Ludwig van Beethoven, né en 1770 à Bonn en Allemagne, est l'un des compositeurs les plus célèbres de tous les temps. Il est largement considéré comme l'une des figures majeures de la musique classique.
Beethoven a composé une multitude d'œuvres emblématiques, notamment des symphonies telles que la ""Symphonie n° 9"" avec son ""Chœur de l'Ode à la joie"". Sa musique a marqué une transition entre le classicisme et le romantisme musical, et son talent a transcendé les limites de la surdité dont il souffrait.
Sa vie tumultueuse et sa quête de perfection musicale sont devenues légendaires. Ses compositions continuent d'inspirer des générations de musiciens et de mélomanes à travers le monde. Ludwig van Beethoven est ainsi salué comme l'un des plus grands compositeurs de l'histoire de la musique, et son nom est synonyme de génie musical et d'innovation.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Beethoven.jpg/800px-Beethoven.jpg,,,,
Piotr Ilitch Tchaïkovski,0060,1840,1893,Russie,Asie,COMPOSITEUR-TRICE,"Piotr Ilitch Tchaïkovski, né en 1840 en Russie, est l'un des compositeurs les plus vénérés de la musique classique russe. Ses œuvres sont reconnues pour leur mélodie captivante et leurs compositions riches.
Tchaïkovski a composé certains des ballets les plus célèbres du répertoire classique, notamment ""Le Lac des cygnes"", ""La Belle au bois dormant"" et ""Casse-Noisette"". Sa musique orchestrale, comme la ""Symphonie n° 5"" et la ""Symphonie n° 6"" (aussi connue sous le nom de ""Pathétique""), est également admirée pour son expressivité.
Sa vie personnelle a été marquée par des défis, y compris sa lutte avec sa propre orientation sexuelle. Cependant, sa musique a laissé un héritage profondément influent. Piotr Ilitch Tchaïkovski est célébré comme l'un des plus grands compositeurs russes de tous les temps, et son nom est synonyme de mélodies envoûtantes et d'émotion musicale intemporelle.",https://upload.wikimedia.org/wikipedia/commons/0/02/Tchaikowsky.jpg,,,,
John Fitzgerald Kennedy,0061,1917,1963,Etats-unis,Amérique du Nord,POLITICIEN-NE,"John Fitzgerald Kennedy, souvent désigné sous les initiales JFK, est l'une des figures les plus emblématiques de l'histoire américaine. Il est né en 1917 à Brookline, Massachusetts, et est devenu le 35e président des États-Unis en 1961.
Kennedy est surtout reconnu pour ses discours inspirants et son engagement en faveur des droits civils et de la lutte contre la pauvreté. Il a également joué un rôle central dans la crise des missiles cubains en 1962, qui a failli déclencher une guerre nucléaire avec l'Union soviétique.
Tragiquement, sa présidence a été écourtée par son assassinat à Dallas, Texas, en 1963. Sa mort a profondément affecté le pays et a marqué le début d'une ère de deuil national.
John F. Kennedy est largement célébré pour sa charismatique présidence, son engagement envers l'exploration spatiale avec le programme Apollo, et son discours historique à Berlin où il a déclaré ""Ich bin ein Berliner"". Son nom reste associé à la vision d'un avenir meilleur et à l'espoir pour un changement positif.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/800px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg,,,,
